relative_path,source_split,source_class,target_class_id,target_class_name,status,reason,canonical_relative_path,bytes,width,height,format,mode,sha256,dhash
train_images/57.Myzus persicae Sulzer/042.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/042.jpg,3255863,3872,2592,JPEG,RGB,d69c87881574c98bdc57c7bee5c63e7fc59d1dff00d6e14dd2e273e391a17fdf,8f8597999173fbf9
train_images/57.Myzus persicae Sulzer/043.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/043.jpg,3227397,3872,2592,JPEG,RGB,0970bcb7b7f5bb6ee4b1d0f823802edf9defa66c35fc119e3903c5ae04c9a44f,8727979991f3e3f5
train_images/57.Myzus persicae Sulzer/044.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/044.jpg,3285087,3872,2592,JPEG,RGB,44211980ada13a86ec4223b4f70d6d7387dbf8c0baf5e1620077680168582063,4f47d79d0cdd791e
train_images/57.Myzus persicae Sulzer/045.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/045.jpg,3576785,3872,2592,JPEG,RGB,7e7447e1008a6554394161b39b189eadac5f8f1670bdf2349ae45a4c4de93f7b,0163c6dd93a698f0
train_images/57.Myzus persicae Sulzer/046.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/046.jpg,3841972,3872,2592,JPEG,RGB,f52fcec03d41f20ecf85b8329c64f447659cdd26e5348d85f73ca19bf2592cef,03e3c69d93a698b0
train_images/57.Myzus persicae Sulzer/047.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/047.jpg,2802803,3872,2592,JPEG,RGB,50c50534bdb49dbc68091ef55b574c8d87b55bb7b527d848b96ba4fd57456a9f,13434b6363a60e7d
train_images/57.Myzus persicae Sulzer/048.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/048.jpg,2833869,3872,2592,JPEG,RGB,824d17ceb8a0cce178688b86608754657269473f48c39878eab4a19a3878cb0b,13636b6363270e7e
train_images/57.Myzus persicae Sulzer/049.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/049.jpg,3373349,3872,2592,JPEG,RGB,a44b3cf916a8c5d292747895a71452133f56a9ac08350bb71d528d73b3326d55,1e9ecfc2c7c31dbd
train_images/57.Myzus persicae Sulzer/050.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,2737710,,,,,,
train_images/57.Myzus persicae Sulzer/051.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/051.jpg,2641904,3872,2592,JPEG,RGB,2063c28c55f23bbd4425d15c35b153372f1fd56df8a5ba280418e92d58647b29,d1e1e1e1f9f1e3c1
train_images/57.Myzus persicae Sulzer/052.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/052.jpg,2997536,3872,2592,JPEG,RGB,69af0b71039cf22886c2514dd885338deb0e951083c73de91e6fa11008c9a088,363676db786b6e5c
train_images/57.Myzus persicae Sulzer/053.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/053.jpg,2946228,3872,2592,JPEG,RGB,e295369d3ef627f2d7be052fdb5a3362daf658959fe325f18ff1e47bb6d41019,3b3732523033c69e
train_images/57.Myzus persicae Sulzer/054.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/054.jpg,2846697,3872,2592,JPEG,RGB,00612a8ed0af9512a2a34416e70128f281168a2026bb70048bd7d0054e3c8cfe,afc6c06b74787167
train_images/57.Myzus persicae Sulzer/055.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/055.jpg,3042522,3872,2592,JPEG,RGB,d42278206fd6a7bf065492d9b3086b899c04ef7cc720df6bb8b19dd4c105fb1f,deecf6dad3d78e8e
train_images/57.Myzus persicae Sulzer/056.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/056.jpg,20271623,7360,4912,MPO,RGB,10548b1b27272d416461fa76d0827826882a96b6d6796661a555b4c6c78f26fd,a2b8c017f3a6ec39
train_images/57.Myzus persicae Sulzer/057.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,19993882,,,,,,
train_images/57.Myzus persicae Sulzer/058.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/058.jpg,20201007,7360,4912,MPO,RGB,53ef56ffa08103243e46994dfe41fcc4cd919518253617fc01f87a7639f1dfdc,031c600793a7e44d
train_images/57.Myzus persicae Sulzer/059.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/059.jpg,20576993,7360,4912,MPO,RGB,09bb66ca984cd2cdc1db7b5e0eb2180ff06895e1174d1147b39823b8a12bf984,818280c353a7ce9e
train_images/57.Myzus persicae Sulzer/060.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/060.jpg,20496362,7360,4912,MPO,RGB,3abfa82332a2eb83bd079cf00ca8ac965209484746fda080c423a759ee550942,061c0107b3a6ce9b
train_images/57.Myzus persicae Sulzer/061.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,20143807,,,,,,
train_images/57.Myzus persicae Sulzer/062.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/062.jpg,20641709,7360,4912,MPO,RGB,24222a9e30cdf8f3deb3c5842d2ebddbf4bcf83e5169d4d5ecb32dc1429f2a24,edfee00593a387ce
train_images/57.Myzus persicae Sulzer/063.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,20157135,,,,,,
train_images/57.Myzus persicae Sulzer/064.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/064.jpg,19913159,7360,4912,MPO,RGB,0f3bedb6829a2bcafe25be4c5f818b6f4cad417b821acecaa8a75bf427908b57,40a0b89f83d0cece
train_images/57.Myzus persicae Sulzer/065.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/065.jpg,19682076,7360,4912,MPO,RGB,1810c47239dce1d70d349b98feab545e6449ab8a4144199dca9fd001b1a0e31f,00a0b89eb3d0cca6
train_images/57.Myzus persicae Sulzer/066.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/066.jpg,19719702,7360,4912,MPO,RGB,78a7d592c1f9dd2ce03a4bbb12e57f5e0d827dfda8cf11b05e4cf1c6c8fa040e,84c896bf5f47f3a9
train_images/57.Myzus persicae Sulzer/067.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/067.jpg,19781361,7360,4912,MPO,RGB,fe6f94b7f4d1d833ca7e434ae12059b079b453b2f3b6e631c5de7de3c7f8a03c,86c896b75f4753ab
train_images/57.Myzus persicae Sulzer/068.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:UnidentifiedImageError:cannot identify image file 'C:\\编程大赛数据\\Dataset\\pest65\\train_images\\57.Myzus persicae Sulzer\\068.jpg',,19843081,,,,,,
train_images/57.Myzus persicae Sulzer/069.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/069.jpg,20014818,7360,4912,MPO,RGB,6c12cdb4f7222581baf01cb30a020796e17f68e63fa8b7f3660f6114acaf133c,f878581c0e6fd6cc
train_images/57.Myzus persicae Sulzer/070.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/070.jpg,21200817,7360,4912,MPO,RGB,73d68fcf9d1b67ec513b5e6802686ccd6f8c319945eb50f87bd981c6436f57f6,c0c0c47430e1d3c3
train_images/57.Myzus persicae Sulzer/071.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,duplicate_or_near_duplicate:train_images/57.Myzus persicae Sulzer/070.jpg,train_images/57.Myzus persicae Sulzer/070.jpg,21187964,7360,4912,MPO,RGB,1961f9a14b7b3bf9fb96b6f20dd19173fa1514b09cb51fc7b3b0ae82131c11a7,c0c0c47430e1d3c3
train_images/57.Myzus persicae Sulzer/072.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,20220131,,,,,,
train_images/57.Myzus persicae Sulzer/073.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/073.jpg,20183860,7360,4912,MPO,RGB,9442226766fc4609bd1750635afe2f0d7b2fd8d731073e3436501c3af58d04ae,6667b7b3717c9893
train_images/57.Myzus persicae Sulzer/074.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/074.jpg,20353553,7360,4912,MPO,RGB,b5ab6398723530b8156e1bbdfee85b3187249c80c1644ea0263862d811a2ac39,cac7e77430294b59
train_images/57.Myzus persicae Sulzer/075.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,9265944,,,,,,
train_images/57.Myzus persicae Sulzer/076.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/076.jpg,9337457,7360,4912,MPO,RGB,fb49dc3aad11837bac17d2a01376d89cac5d333e39f40e919b007ec9a35caa55,627260601899b3a3
train_images/57.Myzus persicae Sulzer/077.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/077.jpg,9614823,7360,4912,MPO,RGB,338182437bcd4149becdc70577e5ba1ab75c8b46bc141c547a55726335674252,e3f363e6c6dff1c9
train_images/57.Myzus persicae Sulzer/078.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:UnidentifiedImageError:cannot identify image file 'C:\\编程大赛数据\\Dataset\\pest65\\train_images\\57.Myzus persicae Sulzer\\078.jpg',,8862710,,,,,,
train_images/57.Myzus persicae Sulzer/079.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/079.jpg,9268625,7360,4912,MPO,RGB,0c8e8b3a2f757de399f438d9401b22dcb3145dfc244b1859d895ca36302c69a9,5808591230606020
train_images/57.Myzus persicae Sulzer/080.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/080.jpg,9842931,7360,4912,MPO,RGB,e10744c30f16a24e521c7ed75224617e7a9afe6206b912e774dc6821d18722f9,5e36f22f1f0f2fe8
train_images/57.Myzus persicae Sulzer/081.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/081.jpg,9502543,7360,4912,MPO,RGB,d1e9fd2872f247e67a5ae9d4cd0f23f7c67ac1bb464932da4444dd20b4d14caa,98d06127a7c9e8c8
train_images/57.Myzus persicae Sulzer/082.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/082.jpg,9249000,7360,4912,MPO,RGB,15bee070dd9a3be3be791079e7eb711dd015167c01861f85001974d61cdf2100,243839330797a3c1
train_images/57.Myzus persicae Sulzer/083.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/083.jpg,9549694,7360,4912,MPO,RGB,966e3f9b8a13fa9217b5d9bb1bdca84c3b2990f474a7902c6885b927cfd8bb87,cccc3c1f73e08391
train_images/57.Myzus persicae Sulzer/084.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/084.jpg,9481986,7360,4912,MPO,RGB,5dbdf727eb7add4a8cc59a02369ec1eeb8ffe190a35e0c8c80cf34921901a340,8cc83c3ff3c40381
train_images/57.Myzus persicae Sulzer/085.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/085.jpg,9177776,7360,4912,MPO,RGB,98ad0a48f8b0cf99c3852c9a4516d50bb49ab48fa98a2d588070273f0eb3d83f,ca0e97a73796440c
train_images/57.Myzus persicae Sulzer/086.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/086.jpg,9894416,7360,4912,MPO,RGB,e619c9658c264788c3161ae32ea748724445fe8e59ad1f7ecd469e68eccfa72e,ca8e92a32396c444
train_images/57.Myzus persicae Sulzer/087.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/087.jpg,9213168,7360,4912,JPEG,RGB,932c806b2adde10541e4e94dac1619d550e2cff9d9c931b63f388eff675fdd39,3ec6f73b337313b1
train_images/57.Myzus persicae Sulzer/088.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/088.jpg,8888144,7360,4912,JPEG,RGB,23369e89f329c4e5f5c5ebd0fcbe8093d7c3476713707ac4fdc760ab7f9a11a0,13170d1367cb9d41
train_images/57.Myzus persicae Sulzer/089.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/089.jpg,9040843,7360,4912,JPEG,RGB,9d602cf4b5ae2a3be541f90cd673906e5e27172e6a8aedf772a1f2728bbc3404,2632210833424a3b
train_images/57.Myzus persicae Sulzer/090.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/090.jpg,7152214,7360,4912,JPEG,RGB,e94b8302bcfaf8178275b745dd844a7ec59908359d06bc6553be2c306c0507c1,c98b3333634a88e3
train_images/57.Myzus persicae Sulzer/091.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/091.jpg,8816657,7360,4912,MPO,RGB,85c13ce8a585eb06c7c39bb685b81f24652f37aaa502dd8e55a776219929e1b4,05642c1c1a982824
train_images/57.Myzus persicae Sulzer/092.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/092.jpg,9155050,7360,4912,JPEG,RGB,b223f4782f94b70561725b4e0e8e6c0e6801eebdef9ee903914a7c2e4cca83e2,b150442642121652
train_images/57.Myzus persicae Sulzer/093.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/093.jpg,8888837,7360,4912,MPO,RGB,77d29f4e0429d612eb250dcca558f95b2089a88cc174fa77c2d5c89257f4358c,e8fcfc72e9fd2ecc
train_images/57.Myzus persicae Sulzer/094.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/094.jpg,9538542,7360,4912,MPO,RGB,5c6043bba34af945694ed6d7e5b3d5018e3bce89f2e11428a9630a4355133077,ecfcfe9ed3fa5e5c
train_images/57.Myzus persicae Sulzer/095.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/095.jpg,8961649,7360,4912,MPO,RGB,6922850c33786c9445d9130a8c3d9cc9e8c85f0f83aef89d4212295ea1298978,49c981840864325a
train_images/57.Myzus persicae Sulzer/096.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/096.jpg,9364518,7360,4912,MPO,RGB,80124858efc0ad84e4ad7f707fac1cf86e9edc504d8582928fb04c8ee92529e1,111814ad98b1a0ce
train_images/57.Myzus persicae Sulzer/097.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/097.jpg,6606996,7360,4912,JPEG,RGB,50fc3539048ed2f60a5df14f6356edecbf829fe181ef751cb9be69b0da08c10c,6c5cac3c18ac5efb
train_images/57.Myzus persicae Sulzer/098.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/098.jpg,20765022,7360,4912,MPO,RGB,bbb4516a0b7cbd8f44729de2aa3776ccc5e1629c52d3e776745b00ad5b615b7d,0e3a322466848bce
train_images/57.Myzus persicae Sulzer/099.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/099.jpg,21026135,7360,4912,MPO,RGB,f8b8f890506789bf1e26faee1bb1e20ccf54024e019909e723e993d65cf3ddfb,03031212d15a0901
train_images/57.Myzus persicae Sulzer/100.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/100.jpg,20498743,7360,4912,MPO,RGB,d5e92e1572326ef8cda1ecc36fb946ddee3cc5f3abc62aa36da8e463f2b54807,7ffff74f5ad3effe
train_images/57.Myzus persicae Sulzer/101.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,20759158,,,,,,
train_images/57.Myzus persicae Sulzer/102.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/102.jpg,21195514,7360,4912,MPO,RGB,680c0f370baa512f2ea0490fc7dbfa761621204bb40120ad791ee2234216c686,070f879b532f2f5f
train_images/57.Myzus persicae Sulzer/103.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,21137237,,,,,,
train_images/57.Myzus persicae Sulzer/104.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/104.jpg,20998408,7360,4912,MPO,RGB,7d6864b3498d72b69bc9ff9c163c37e48687c240a6a8659cdf221af43d2aecfc,20200a09b7261c36
train_images/57.Myzus persicae Sulzer/105.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/105.jpg,21271172,7360,4912,MPO,RGB,daf7fa7052330c43c733d5aa97970875110657e92c1825a0e68b986a70c2f371,0503036aeb97030d
train_images/57.Myzus persicae Sulzer/106.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/106.jpg,842665,2707,1733,JPEG,RGB,87ddd0878bee39a4caee714e5870a8166a64f513e683a782b505dd116c02d64f,0e23217871756061
train_images/57.Myzus persicae Sulzer/107.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/107.jpg,18700868,7360,4912,MPO,RGB,22048a848e67dd9cbde33cd238040f8407901ef16b1959f9e27990eaebe000dd,9f972b33579f9b97
train_images/57.Myzus persicae Sulzer/108.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/108.jpg,16404544,7360,4912,MPO,RGB,03f15c5ac2dd40e854e6db9fb058cebae39ad3ff12ba03063920bfe986af7173,9e971b9b379e9a83
train_images/57.Myzus persicae Sulzer/109.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/109.jpg,14455588,7360,4912,MPO,RGB,913756afd3191281fc83e0e8cebf4b8719ddf7e7f36cd8b81389c6681820a981,cdccc0a4644c6a72
train_images/57.Myzus persicae Sulzer/110.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/110.jpg,14386074,7360,4912,MPO,RGB,8067573c940cd40f9b428a8644361a4e5c65a72ed643ccc9d7cc717bd879716a,3327233352731938
train_images/57.Myzus persicae Sulzer/111.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/111.jpg,14482238,7360,4912,MPO,RGB,2d41244c0ff13a5100765e44e28eeb75033fb7f0fd03bdac5f35889f9d117fb5,3363333252731938
train_images/57.Myzus persicae Sulzer/112.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/112.jpg,1250172,2272,1704,JPEG,RGB,aedba67eb72682417f6bc051b3f05b7481fa78d9cf5142f3f04d20c45ea084dd,cdcf733a93368e49
train_images/57.Myzus persicae Sulzer/113.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/113.jpg,1229347,2272,1704,JPEG,RGB,4ef9977a221ccc5c5d103105b8341db679d8b10b6e497fb26773f0fe9b35627d,cdc37a1a931e6e33
train_images/57.Myzus persicae Sulzer/114.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/114.jpg,1332868,2272,1704,JPEG,RGB,185b80435de238a6b561333fea3e355a09f2530c1076b7d24a8f81ba9bfc2578,772303018184ac48
train_images/57.Myzus persicae Sulzer/115.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/115.jpg,1308438,2272,1704,JPEG,RGB,1d82b35d9fa7ef3fa0aa5cbf260761a8b9223787fa8d10c6a65201475eaa4b82,b7930341c0840c48
train_images/57.Myzus persicae Sulzer/116.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/116.jpg,1399456,2272,1704,JPEG,RGB,b25f83579e4b33e48a097a3c2611b6443733010c6e9a352bc7723895625bf3b7,b399095e3feffe7e
train_images/57.Myzus persicae Sulzer/117.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/117.jpg,1284735,2272,1704,JPEG,RGB,72802f14685a851fcc85b56f9b698430ee932825bb6285103605056e75fca25e,bddd6e361b8d477f
train_images/57.Myzus persicae Sulzer/118.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/118.jpg,1408604,2272,1704,JPEG,RGB,88e459aa75bc16c53d03ef01ffaa088f8fc24e0ef46ec2bb0e936caf3141724d,6ff9ded72762e0d2
train_images/57.Myzus persicae Sulzer/119.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/119.jpg,1271942,2272,1704,JPEG,RGB,7a14d1223ba43e3a2d46aab3a14c8f4a8b24e31786a8fe3ca9190b65d6c47527,c7fbdcf72fe4e092
train_images/57.Myzus persicae Sulzer/120.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/120.jpg,1298228,2272,1704,JPEG,RGB,1b271098b1be9aedb8f0639708c00f9fc30cca542d21b617d3660d51aae4c74a,2d35335b0f594d3d
train_images/57.Myzus persicae Sulzer/121.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/121.jpg,1266917,2272,1704,JPEG,RGB,76809e9f5fa13345748139c43727d45ad490663787e3606b1cdcb8f06a3fdbaf,7ae3f434321a9e4e
train_images/57.Myzus persicae Sulzer/122.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/122.jpg,1322025,2272,1704,JPEG,RGB,38b9b73f336d5133d6450091bfcb1c2b4f0d82267b1c28f7ded72c83cf826fe7,61407cc62864d01c
train_images/57.Myzus persicae Sulzer/123.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/123.jpg,1341835,2272,1704,JPEG,RGB,d6cb91baa3729df124843bc76d81b1d06eaa4144c5edfe21f93ad67eb66b17b1,402cfc9020e01806
train_images/57.Myzus persicae Sulzer/124.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/124.jpg,1308976,2272,1704,JPEG,RGB,635da6019bbec20803c4b7620c77cdab10cae23b16e88aacd68b7163d689aa01,4c5310661bc82d12
train_images/57.Myzus persicae Sulzer/125.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/125.jpg,1152201,2272,1704,JPEG,RGB,157b641deb460d7a605196c3b2f035fac94924dc40cf33358dc2eea8e5d6883f,359c843b086481e0
train_images/57.Myzus persicae Sulzer/126.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/126.jpg,1329556,2272,1704,JPEG,RGB,5ff987aeb53e772706fde63db86aeebe0b9aeecda599018a3abf1af922d67307,9db194321be4a438
train_images/57.Myzus persicae Sulzer/127.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,1326827,,,,,,
train_images/57.Myzus persicae Sulzer/128.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/128.jpg,1309734,2272,1704,JPEG,RGB,614aeb5f86826b82c6ddf4f41479edecc1552d78c5cde1b759c813bf3b50be28,9152d2c96840783f
train_images/57.Myzus persicae Sulzer/129.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/129.jpg,1302872,2272,1704,JPEG,RGB,d6374c2804173e959584c59704b604465ca4b1123cb62cb91dbf336a12449c30,8d9833e6ac7868f8
train_images/57.Myzus persicae Sulzer/130.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/130.jpg,1335658,2272,1704,JPEG,RGB,e31c05aaf5f07ed2eec86d74469b24ef75dd4cee752c8039d71d0a4f89cf6d47,899933e4bc68e0fc
train_images/57.Myzus persicae Sulzer/131.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/131.jpg,1236703,2272,1704,JPEG,RGB,6e11f940052022bd99944405bb06a9535b9746e4bddc5f1cba2595e79a0083d4,3ff9fb733633379b
train_images/57.Myzus persicae Sulzer/132.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/132.jpg,1235398,2272,1704,JPEG,RGB,08a8c8bc1470c7f7761d684f68fe445c8f17be6590bae5cc27b3a94cd889178a,1e6e6f6fef0fa7f9
train_images/57.Myzus persicae Sulzer/133.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/133.jpg,1341951,2272,1704,JPEG,RGB,3c0b30a419e950bb4497f18e39c211dec288218e5bae5c1d773833ce05131f1a,2d2fc5c391c5c0c0
train_images/57.Myzus persicae Sulzer/134.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/134.jpg,1186029,2272,1704,JPEG,RGB,cc77fc70e4d71166e65acc43f4ad5023f945270b01de17259d860ce5e869f6d4,c7c0ca92b41c1910
